"param_val","score_mean","score_sd","score_min","score_p01","score_p05","score_p10","score_p25","score_median","score_p75","score_p90","score_p95","score_p99","score_max","tail_drop_median","tail_drop_mean","fail_risk_60","critical_fail_risk_30","labor_hours_mean","labor_hours_median","labor_hours_p95","total_cost_mean","total_cost_median","total_cost_p95","total_cost_max","overtime_mean","overtime_median","overtime_p95","overtime_prob","backlog_mean","backlog_median","backlog_p95","backlog_prob"
30,79.71032,7.4859700537235,40.2,58.893,66.38,70.16,75.3,80.6,85.04,88.784,90.34,94.04,97.04,0.176426799007444,0.167234556328465,0.015,0,186.158138166667,186.085583333333,210.669266666667,12043.2580873357,12005.1867122434,14342.9091728062,15747.2815858489,3044.87157536253,3005.18671224343,5342.90917280624,0.991,0.0960000000000006,0,0,0.002
29,79.77262,7.12780759959026,49.12,60.42,67.82,70.754,75.38,80.56,85.04,88.82,90.34,94.08,97.04,0.158142999006951,0.149833614591071,0.008,0,186.295927166667,186.13775,210.64725,12260.690352271,12203.6924086625,14567.2491476152,15119.4136498388,3620.75122435604,3563.69240866247,5927.24914761518,0.999,0.692000000000002,0,0,0.019
28,79.48586,7.8883731968063,43.9,59.6796,66.269,69.38,73.86,80.6,85.12,88.82,90.375,93.3474,97.78,0.177803970223325,0.16627938604426,0.012,0,185.894860333333,185.40375,210.042225,12352.8651696706,12358.9497415306,14476.8958967003,14489.9562051119,4072.86516967058,4078.94974153062,6196.89589670032,1,2.178,0,13,0.068
27,79.10764,8.04912499863454,38.0200000000001,55.113,64.858,68.716,74.6,79.86,85.04,88.82,90.34,93.3,97.78,0.187853744052091,0.18012975737868,0.023,0,186.302554166667,185.861666666667,210.977066666667,12439.1905367946,12486.1183774482,13854.2491894042,13859.9091088557,4519.19053679463,4566.11837744815,5934.24918940421,1,7.71999999999999,0,52,0.176
26,77.2727,10.0828946575214,20.1000000000001,44.0196000000001,58.158,64.12,72.38,79.08,84.3,88.08,89.6,93.3,94.82,0.264567526555386,0.247366793188279,0.063,0.002,185.361751166667,185.062083333334,211.287983333333,12357.5401717157,12626.0323987687,13227.824379593,13229.9796515876,4797.54017171568,5066.0323987687,5667.82437959302,1,20.129,0,113,0.337
25,74.66484,12.1490135856993,20.8800000000001,37.1938,49.94,58.236,68.63,76.86,83.6,87.34,89.56,94.04,98.52,0.350247202706218,0.33114435121002,0.12,0.001,185.8148475,185.476583333333,210.29335,12208.513125584,12583.2324679652,12598.0547270214,12599.9689412299,5008.51312558396,5383.23246796523,5398.05472702141,1,39.349,17,142.1,0.585
24,71.41494,14.2401658529639,2.06000000000007,29.0910000000001,43.94,52.9,63.45,74.54,82.05,86.6,89.522,92.56,98.52,0.410517842768983,0.384722580457254,0.194,0.013,186.232818166667,185.814916666666,211.752325000001,11820.8810966733,11958.3079202602,11968.8285877065,11969.9842956031,4980.8810966733,5118.30792026017,5128.82858770649,1,71.451,63,196.15,0.793
23,66.29976,15.8926826087638,0,20.0126000000001,37.2070000000001,44.7600000000001,56.7500000000001,68.64,78.38,84.34,87.3,91.8274,98.52,0.457939976689976,0.438806414985514,0.31,0.028,186.106567333333,185.277833333333,210.283133333333,11299.4089521824,11330.5097778256,11339.0112848774,11339.9982894244,4819.40895218243,4850.50977782557,4859.01128487745,1,109.699,106,234,0.933
22,61.21266,16.6379855116623,0,16.2660000000001,29.7600000000001,38.0560000000001,50.72,64.12,73.16,79.86,83.602,90.3,97.78,0.535870243293823,0.513826061471597,0.414,0.056,185.709942,184.581083333333,211.672841666667,10698.7284726148,10701.3158192474,10709.1353054313,10709.9961172321,4578.72847261479,4581.31581924741,4589.13530543128,1,152.623,147,285.05,0.993
21,55.04622,18.1906948270232,0,0,22.3580000000001,31.3160000000001,43.9800000000001,56.72,68.6,76.124,82.042,88.7808,95.56,0.605818053596614,0.593832237708601,0.556,0.094,186.912603333333,186.31675,212.132933333333,10069.7921441824,10071.3614437933,10079.2079487646,10079.9256780114,4309.79214418243,4311.3614437933,4319.20794876455,1,201.831,199,325,0.999
20,51.68288,18.2191201995718,0,1.4384000000001,18.6200000000001,25.9660000000001,39.5000000000001,53.8000000000001,65.64,73.9,77.64,84.3,91,0.653903345724906,0.639725959544049,0.643,0.14,185.321510666667,185.09775,210.144558333333,9439.80593743812,9441.15129455496,9449.23344400465,9449.99163325963,4039.80593743812,4041.15129455495,4049.23344400464,1,237.355,234.5,364.05,1
